Rank,Player_ID,Player_Name,Format,Batting_Points,Bowling_Points,Fielding_Points,Total_Score
1.0,6258,ID_6258,Test,11.415,590.0,0.0,601.415
2.0,1742,Adil Rashid,ODI,18.08,484.0,0.0,502.08
3.0,9720,ID_9720,Test,21.005,436.0,0.0,457.005
4.0,10738,Rashid Khan,ODI,23.47,420.0,1.5,444.97
5.0,8642,Adam Zampa,ODI,8.754999999999999,392.0,0.0,400.755
6.0,10738,Rashid Khan,T20,13.625,382.0,1.5,397.125
7.0,8292,ID_8292,ODI,6.94,388.0,0.0,394.94
8.0,9067,ID_9067,ODI,7.890000000000001,344.0,0.0,351.89
9.0,10738,Rashid Khan,IPL,12.815000000000001,316.0,1.5,330.315
10.0,10926,ID_10926,T20,14.795,308.0,0.0,322.795
11.0,1742,Adil Rashid,T20,5.300000000000001,312.0,0.0,317.3
12.0,9067,ID_9067,Test,15.29,280.0,0.0,295.29
13.0,10100,ID_10100,ODI,29.19,266.0,0.0,295.19
14.0,6258,ID_6258,ODI,8.85,284.0,0.0,292.85
15.0,10100,ID_10100,T20,19.48,272.0,0.0,291.48
16.0,8642,Adam Zampa,T20,3.1550000000000002,286.0,0.0,289.155
17.0,10808,ID_10808,Test,3.74,278.0,0.0,281.74
18.0,10926,ID_10926,ODI,23.174999999999997,224.0,0.0,247.175
19.0,10808,ID_10808,IPL,6.72,218.0,0.0,224.72
20.0,9748,Saurabh Netravalkar,ODI,6.19,216.0,0.0,222.19
21.0,8292,ID_8292,IPL,8.71,204.0,0.0,212.71
22.0,10769,Bernard Scholtz,ODI,9.39,198.0,0.0,207.39
23.0,8292,ID_8292,T20,4.48,190.0,0.0,194.48
24.0,10100,ID_10100,Test,23.765,156.0,0.0,179.765
25.0,18504,Maheesh Theekshana,ODI,11.665,158.0,1.0,170.665
26.0,10769,Bernard Scholtz,T20,6.27,162.0,0.0,168.27
27.0,6258,ID_6258,T20,5.125,158.0,0.0,163.125
28.0,8292,ID_8292,Test,8.17,152.0,0.0,160.17
29.0,18504,Maheesh Theekshana,T20,2.96,154.0,1.0,157.96
30.0,9720,ID_9720,ODI,10.285,146.0,0.0,156.285
31.0,10808,ID_10808,ODI,4.135,152.0,0.0,156.135
32.0,11540,Jofra Archer,ODI,11.48,130.0,0.0,141.48
33.0,1742,Adil Rashid,Test,15.045,120.0,0.0,135.045
34.0,11540,Jofra Archer,Test,8.040000000000001,120.0,0.0,128.04
35.0,11540,Jofra Archer,IPL,9.515,118.0,0.0,127.515
36.0,6258,ID_6258,IPL,0.19,114.0,0.0,114.19
37.0,11540,Jofra Archer,T20,5.9,104.0,0.0,109.9
38.0,10738,Rashid Khan,Test,10.094999999999999,90.0,1.5,101.595
39.0,12555,ID_12555,T20,0.7050000000000001,98.0,0.0,98.705
40.0,9067,ID_9067,T20,3.745,94.0,0.0,97.745
41.0,12555,ID_12555,Test,4.93,92.0,0.0,96.93
42.0,9720,ID_9720,T20,6.180000000000001,90.0,0.0,96.18
43.0,10926,ID_10926,IPL,3.5100000000000002,92.0,0.0,95.51
44.0,9748,Saurabh Netravalkar,T20,3.92,84.0,0.0,87.92
45.0,9095,ID_9095,ODI,79.265,0.0,0.0,79.265
46.0,9163,ID_9163,ODI,78.75999999999999,0.0,0.0,78.75999999999999
47.0,18504,Maheesh Theekshana,IPL,3.005,72.0,1.0,76.005
48.0,9115,ID_9115,ODI,69.255,0.0,0.0,69.255
49.0,9419,ID_9419,ODI,66.7,0.0,0.0,66.7
50.0,9177,ID_9177,ODI,65.56,0.0,0.0,65.56
51.0,8642,Adam Zampa,IPL,1.65,62.0,0.0,63.65
52.0,12555,ID_12555,ODI,7.28,56.0,0.0,63.28
53.0,9082,ID_9082,ODI,62.615,0.0,0.0,62.615
54.0,9163,ID_9163,T20,61.715,0.0,0.0,61.715
55.0,9138,ID_9138,ODI,61.120000000000005,0.0,0.0,61.120000000000005
56.0,9165,ID_9165,ODI,59.12,0.0,0.0,59.12
57.0,9149,ID_9149,ODI,58.035000000000004,0.0,0.0,58.035000000000004
58.0,10100,ID_10100,IPL,7.975,50.0,0.0,57.975
59.0,9110,ID_9110,ODI,52.935,0.0,0.0,52.935
60.0,9089,ID_9089,ODI,52.870000000000005,0.0,0.0,52.870000000000005
61.0,9182,ID_9182,ODI,52.665,0.0,0.0,52.665
62.0,9082,ID_9082,T20,52.395,0.0,0.0,52.395
63.0,9095,ID_9095,T20,50.72,0.0,0.0,50.72
64.0,9165,ID_9165,T20,48.370000000000005,0.0,0.0,48.370000000000005
65.0,9125,ID_9125,ODI,48.339999999999996,0.0,0.0,48.339999999999996
66.0,9149,ID_9149,T20,48.24,0.0,0.0,48.24
67.0,12211,ID_12211,Test,47.714999999999996,0.0,0.0,47.714999999999996
68.0,11256,ID_11256,ODI,47.63,0.0,0.0,47.63
69.0,11098,ID_11098,ODI,45.894999999999996,0.0,0.0,45.894999999999996
70.0,11256,ID_11256,T20,44.19,0.0,0.0,44.19
71.0,9419,ID_9419,T20,44.11,0.0,0.0,44.11
72.0,11855,ID_11855,ODI,43.61,0.0,0.0,43.61
73.0,9089,ID_9089,T20,43.45,0.0,0.0,43.45
74.0,9125,ID_9125,T20,42.5,0.0,0.0,42.5
75.0,9198,ID_9198,ODI,42.215,0.0,0.0,42.215
76.0,9115,ID_9115,WPL,42.12,0.0,0.0,42.12
77.0,9185,ID_9185,ODI,41.36,0.0,0.0,41.36
78.0,9771,ID_9771,ODI,39.57,0.0,0.0,39.57
79.0,9419,ID_9419,WPL,38.445,0.0,0.0,38.445
80.0,9115,ID_9115,Test,38.365,0.0,0.0,38.365
81.0,10808,ID_10808,T20,3.64,34.0,0.0,37.64
82.0,9115,ID_9115,T20,37.375,0.0,0.0,37.375
83.0,9138,ID_9138,T20,36.86,0.0,0.0,36.86
84.0,9192,ID_9192,ODI,36.245000000000005,0.0,0.0,36.245000000000005
85.0,11098,ID_11098,Test,35.089999999999996,0.0,0.0,35.089999999999996
86.0,9082,ID_9082,WPL,34.870000000000005,0.0,0.0,34.870000000000005
87.0,9185,ID_9185,T20,33.370000000000005,0.0,0.0,33.370000000000005
88.0,11989,ID_11989,ODI,33.08,0.0,0.0,33.08
89.0,9182,ID_9182,Test,32.165,0.0,0.0,32.165
90.0,9419,ID_9419,Test,32.065,0.0,0.0,32.065
91.0,9138,ID_9138,Test,30.785000000000004,0.0,0.0,30.785000000000004
92.0,12211,ID_12211,ODI,30.25,0.0,0.0,30.25
93.0,9148,ID_9148,ODI,29.515,0.0,0.0,29.515
94.0,9177,ID_9177,T20,28.585,0.0,0.0,28.585
95.0,11855,ID_11855,T20,28.5,0.0,0.0,28.5
96.0,14486,ID_14486,ODI,27.54,0.0,0.0,27.54
97.0,13658,ID_13658,ODI,26.905,0.0,0.0,26.905
98.0,9198,ID_9198,T20,26.775,0.0,0.0,26.775
99.0,9182,ID_9182,T20,26.685000000000002,0.0,0.0,26.685000000000002
100.0,11989,ID_11989,T20,26.35,0.0,0.0,26.35
101.0,9144,ID_9144,ODI,26.125,0.0,0.0,26.125
102.0,10926,ID_10926,Test,15.96,8.0,0.0,23.96
103.0,9110,ID_9110,T20,23.735,0.0,0.0,23.735
104.0,9192,ID_9192,T20,22.83,0.0,0.0,22.83
105.0,11098,ID_11098,T20,22.6,0.0,0.0,22.6
106.0,12752,ID_12752,ODI,21.96,0.0,0.0,21.96
107.0,11256,ID_11256,WPL,21.805,0.0,0.0,21.805
108.0,9198,ID_9198,Test,21.68,0.0,0.0,21.68
109.0,18504,Maheesh Theekshana,Test,10.425,10.0,1.0,21.425
110.0,11382,ID_11382,ODI,21.095,0.0,0.0,21.095
111.0,12752,ID_12752,T20,20.94,0.0,0.0,20.94
112.0,11989,ID_11989,WPL,20.78,0.0,0.0,20.78
113.0,13658,ID_13658,WPL,20.6,0.0,0.0,20.6
114.0,11405,ID_11405,WPL,20.115,0.0,0.0,20.115
115.0,9142,ID_9142,ODI,19.985,0.0,0.0,19.985
116.0,10008,ID_10008,ODI,19.955,0.0,0.0,19.955
117.0,9096,ID_9096,ODI,19.825,0.0,0.0,19.825
118.0,11098,ID_11098,WPL,19.669999999999998,0.0,0.0,19.669999999999998
119.0,9148,ID_9148,T20,19.525,0.0,0.0,19.525
120.0,11989,ID_11989,Test,19.5,0.0,0.0,19.5
121.0,9165,ID_9165,WPL,19.35,0.0,0.0,19.35
122.0,10007,ID_10007,ODI,18.565,0.0,0.0,18.565
123.0,33274,ID_33274,WPL,18.36,0.0,0.0,18.36
124.0,12752,ID_12752,WPL,18.09,0.0,0.0,18.09
125.0,9182,ID_9182,WPL,17.81,0.0,0.0,17.81
126.0,11855,ID_11855,WPL,17.275,0.0,0.0,17.275
127.0,22226,ID_22226,T20,17.265,0.0,0.0,17.265
128.0,9126,ID_9126,ODI,17.17,0.0,0.0,17.17
129.0,40773,ID_40773,WPL,16.830000000000002,0.0,0.0,16.830000000000002
130.0,9993,ID_9993,ODI,16.465,0.0,0.0,16.465
131.0,11326,ID_11326,Test,16.335,0.0,0.0,16.335
132.0,9993,ID_9993,WPL,16.26,0.0,0.0,16.26
133.0,10008,ID_10008,T20,16.25,0.0,0.0,16.25
134.0,9143,ID_9143,Test,15.95,0.0,0.0,15.95
135.0,9146,ID_9146,T20,15.754999999999999,0.0,0.0,15.754999999999999
136.0,9110,ID_9110,Test,15.54,0.0,0.0,15.54
137.0,9144,ID_9144,Test,15.41,0.0,0.0,15.41
138.0,11382,ID_11382,T20,15.219999999999999,0.0,0.0,15.219999999999999
139.0,22226,ID_22226,WPL,15.08,0.0,0.0,15.08
140.0,9192,ID_9192,WPL,15.014999999999999,0.0,0.0,15.014999999999999
141.0,11389,ID_11389,ODI,14.920000000000002,0.0,0.0,14.920000000000002
142.0,9082,ID_9082,Test,14.5,0.0,0.0,14.5
143.0,12773,ID_12773,ODI,14.489999999999998,0.0,0.0,14.489999999999998
144.0,9089,ID_9089,WPL,14.43,0.0,0.0,14.43
145.0,11405,ID_11405,ODI,14.28,0.0,0.0,14.28
146.0,9143,ID_9143,ODI,14.09,0.0,0.0,14.09
147.0,9142,ID_9142,T20,13.875,0.0,0.0,13.875
148.0,9144,ID_9144,T20,13.780000000000001,0.0,0.0,13.780000000000001
148.0,9146,ID_9146,ODI,13.780000000000001,0.0,0.0,13.780000000000001
149.0,12773,ID_12773,T20,13.72,0.0,0.0,13.72
150.0,22226,ID_22226,ODI,13.53,0.0,0.0,13.53
151.0,9155,ID_9155,ODI,13.195,0.0,0.0,13.195
152.0,9192,ID_9192,Test,13.09,0.0,0.0,13.09
153.0,9993,ID_9993,T20,12.82,0.0,0.0,12.82
154.0,9138,ID_9138,WPL,12.6,0.0,0.0,12.6
155.0,9771,ID_9771,Test,12.285,0.0,0.0,12.285
156.0,11326,ID_11326,ODI,12.06,0.0,0.0,12.06
157.0,11362,ID_11362,ODI,11.785,0.0,0.0,11.785
158.0,13658,ID_13658,T20,11.75,0.0,0.0,11.75
159.0,13950,ID_13950,WPL,11.015,0.0,0.0,11.015
160.0,9096,ID_9096,T20,10.59,0.0,0.0,10.59
161.0,13533,ID_13533,WPL,10.425,0.0,0.0,10.425
162.0,11389,ID_11389,T20,10.280000000000001,0.0,0.0,10.280000000000001
162.0,9091,ID_9091,ODI,10.280000000000001,0.0,0.0,10.280000000000001
163.0,9159,ID_9159,ODI,10.225,0.0,0.0,10.225
164.0,13533,ID_13533,ODI,9.8,0.0,0.0,9.8
165.0,11405,ID_11405,T20,9.72,0.0,0.0,9.72
166.0,1742,Adil Rashid,IPL,5.72,4.0,0.0,9.719999999999999
167.0,12752,ID_12752,Test,9.285,0.0,0.0,9.285
168.0,9126,ID_9126,T20,9.219999999999999,0.0,0.0,9.219999999999999
169.0,9159,ID_9159,T20,8.85,0.0,0.0,8.85
170.0,9142,ID_9142,Test,8.41,0.0,0.0,8.41
171.0,40871,ID_40871,WPL,8.385,0.0,0.0,8.385
172.0,11326,ID_11326,T20,7.84,0.0,0.0,7.84
173.0,9146,ID_9146,Test,7.8,0.0,0.0,7.8
174.0,12211,ID_12211,WPL,7.75,0.0,0.0,7.75
175.0,12211,ID_12211,T20,7.645,0.0,0.0,7.645
176.0,11326,ID_11326,WPL,7.54,0.0,0.0,7.54
177.0,9185,ID_9185,Test,5.72,0.0,0.0,5.72
178.0,9155,ID_9155,T20,5.695,0.0,0.0,5.695
179.0,13950,ID_13950,T20,5.535,0.0,0.0,5.535
180.0,9651,ID_9651,ODI,5.4,0.0,0.0,5.4
181.0,10007,ID_10007,T20,5.32,0.0,0.0,5.32
182.0,9091,ID_9091,T20,5.140000000000001,0.0,0.0,5.140000000000001
183.0,9143,ID_9143,T20,5.125,0.0,0.0,5.125
184.0,9655,ID_9655,ODI,4.840000000000001,0.0,0.0,4.840000000000001
185.0,9720,ID_9720,IPL,0.51,4.0,0.0,4.51
186.0,11362,ID_11362,T20,4.32,0.0,0.0,4.32
187.0,9067,ID_9067,IPL,0.0,4.0,0.0,4.0
188.0,9149,ID_9149,WPL,3.7800000000000002,0.0,0.0,3.7800000000000002
189.0,13533,ID_13533,T20,3.665,0.0,0.0,3.665
190.0,14486,ID_14486,T20,3.06,0.0,0.0,3.06
190.0,9771,ID_9771,T20,3.06,0.0,0.0,3.06
191.0,9651,ID_9651,T20,2.7,0.0,0.0,2.7
192.0,14486,ID_14486,WPL,2.2800000000000002,0.0,0.0,2.2800000000000002
193.0,9655,ID_9655,T20,0.51,0.0,0.0,0.51
194.0,9748,Saurabh Netravalkar,IPL,0.0,0.0,0.0,0.0
194.0,9748,Saurabh Netravalkar,Test,0.0,0.0,0.0,0.0
194.0,9655,ID_9655,WPL,0.0,0.0,0.0,0.0
194.0,9655,ID_9655,Test,0.0,0.0,0.0,0.0
194.0,9651,ID_9651,WPL,0.0,0.0,0.0,0.0
194.0,10769,Bernard Scholtz,IPL,0.0,0.0,0.0,0.0
194.0,10769,Bernard Scholtz,Test,0.0,0.0,0.0,0.0
194.0,9771,ID_9771,WPL,0.0,0.0,0.0,0.0
194.0,9126,ID_9126,WPL,0.0,0.0,0.0,0.0
