match_id,team1,team2,venue,format,toss,result
91778,Australia,India,Perth Stadium,TEST,India opt to bat,India opt to bat
91787,Australia,India,Adelaide Oval,TEST,India opt to bat,India opt to bat
91796,Australia,India,The Gabba,TEST,India opt to bowl,India opt to bowl
91805,Australia,India,Melbourne Cricket Ground,TEST,Australia opt to bat,Australia opt to bat
91814,Australia,India,Sydney Cricket Ground,TEST,India opt to bat,India opt to bat
87850,Australia,India,Daren Sammy National Cricket Stadium,T20,Australia opt to bowl,Australia opt to bowl
116912,Australia,India,Perth Stadium,ODI,Australia opt to bowl,Australia opt to bowl
116921,Australia,India,Adelaide Oval,ODI,Australia opt to bowl,Australia opt to bowl
116927,Australia,India,Sydney Cricket Ground,ODI,Australia opt to bat,Australia opt to bat
116936,Australia,India,Manuka Oval,T20,Australia opt to bowl,No result (due to rain)-Australia opt to bowl
116945,Australia,India,Melbourne Cricket Ground,T20,Australia opt to bowl,Australia opt to bowl
116954,Australia,India,Bellerive Oval,T20,India opt to bowl,India opt to bowl
116957,Australia,India,Carrara Oval,T20,Australia opt to bowl,Australia opt to bowl
116963,Australia,India,The Gabba,T20,Australia opt to bowl,No result (due to rain)-Australia opt to bowl
112462,India,Australia,Dubai International Cricket Stadium,ODI,Australia opt to bat,Australia opt to bat
