Series ID,Series Name,Start Date
8553,"Sri Lanka tour of New Zealand, 2024-25",2024-12-23
9297,"Gulf Cricket T20I Championship, 2024",2024-12-13
8044,"Pakistan tour of South Africa, 2024 -25",2024-12-10
9171,"Afghanistan tour of Zimbabwe, 2024-25",2024-12-09
9265,"ICC Mens T20 World Cup Americas Sub Regional Qualifier, 2024",2024-12-06
9289,Africa Continental Cup 2024,2024-12-04
8058,"Sri Lanka tour of South Africa, 2024",2024-11-27
8494,"Pakistan tour of Zimbabwe, 2024",2024-11-24
7853,"England tour of New Zealand, 2024",2024-11-23
9132,ICC Mens T20 World Cup Africa Sub Regional Qualifier C 2024,2024-11-23
7745,"India tour of Australia, 2024-25",2024-11-22
9129,ICC Mens T20 World Cup Asia Qualifier B 2024,2024-11-19
8116,"Bangladesh tour of West Indies, 2024",2024-11-17
9125,"Netherlands tour of Oman, 2024",2024-11-13
9146,"Myanmar tour of Indonesia, 2024",2024-11-12
9083,"New Zealand tour of Sri Lanka, 2024",2024-11-09
8404,"India tour of South Africa, 2024",2024-11-08
9091,"Afghanistan v Bangladesh in UAE, 2024",2024-11-06
7781,"Pakistan tour of Australia, 2024",2024-11-03
8107,"England tour of West Indies, 2024",2024-10-31
9157,Bahrain in Uganda 2024,2024-10-28
9033,"South Africa tour of Bangladesh, 2024",2024-10-21
9041,"ICC Mens T20 World Cup Sub Regional Africa Qualifier Group B, 2024",2024-10-19
9025,"Quadrangular T20I Series in Bhutan, 2024",2024-10-19
9115,"Seychelles tour of Kenya, Only T20I",2024-10-18
9043,Nepal tour of United States of America 2024,2024-10-17
8395,"New Zealand tour of India, 2024",2024-10-16
9009,"West Indies tour of Sri Lanka, 2024",2024-10-13
9057,Rwanda tour of Malawi 2024,2024-10-09
8497,"England tour of Pakistan, 2024",2024-10-07
9017,"Serbia tour of Gibraltar, 2024",2024-09-30
8947,Namibia T20I Tri-Series 2024,2024-09-29
8598,"ICC Mens T20 World Cup Sub Regional East Asia-Pacific Qualifier B, 2024",2024-09-28
8955,Canada T20I Tri-Series 2024,2024-09-28
7981,"Ireland v South Africa in UAE, 2024",2024-09-26
8969,"T20I Tri-Series in South Korea, 2024",2024-09-25
8835,ICC Mens T20 World Cup Africa Sub Regional Qualifier A 2024,2024-09-21
8393,"Bangladesh tour of India, 2024",2024-09-19
8818,"New Zealand tour of Sri Lanka, 2024",2024-09-18
8661,"Afghanistan v South Africa in UAE, 2024",2024-09-18
6794,"Australia tour of England, 2024",2024-09-11
8625,"Afghanistan v New Zealand in India, 2024",2024-09-09
8552,"Australia tour of Scotland, 2024",2024-09-04
8764,ICC Mens T20 World Cup Asia Qualifier A 2024,2024-08-30
8632,"Netherlands T20I Tri-Series, 2024",2024-08-23
8596,"ICC Mens T20 World Cup Sub Regional Europe Qualifier C, 2024",2024-08-21
8495,"Bangladesh tour of Pakistan, 2024",2024-08-21
8686,"Malaysia T20I Tri Nations Cup, 2024",2024-08-21
8587,"ICC Mens T20 World Cup Sub Regional East Asia-Pacific Qualifier A, 2024",2024-08-17
6787,"Sri Lanka tour of England, 2024",2024-08-14
8578,"Spain tour of Croatia, 2024",2024-08-02
8238,"South Africa tour of West Indies, 2024",2024-07-31
8528,"India tour of Sri Lanka, 2024",2024-07-27
7979,"Zimbabwe tour of Ireland, 2024",2024-07-25
8476,Nigeria tour of Kenya 2024,2024-07-12
8337,"ICC Mens T20 World Cup Sub Regional Europe Qualifier B, 2024",2024-07-07
7546,"India tour of Zimbabwe, 2024",2024-07-06
6780,"West Indies tour of England, 2024",2024-07-03
8422,"Serbia tour of Slovenia, 2024",2024-06-29
8382,Kenya Quadrangular Cup 2024,2024-06-28
8413,"Jersey tour of Guernsey, 2024",2024-06-22
8310,Estonia tour of Cyprus 2024,2024-06-17
8260,"Jersey tour of Denmark, 2024",2024-06-15
8332,Nordic T20I Cup 2024,2024-06-14
8256,"ICC Mens T20 World Cup Sub Regional Europe Qualifier A, 2024",2024-06-09
8294,"Guernsey tour of Belgium, 2024",2024-06-08
7476,ICC Mens T20 World Cup 2024,2024-06-01
8247,"Belgium tour of Austria, 2024",2024-05-25
8166,Continental Cup 2024,2024-05-24
8103,"South Africa tour of West Indies, 2024",2024-05-23
6773,"Pakistan tour of England, 2024",2024-05-22
7700,"Bangladesh tour of USA, 2024",2024-05-21
7819,"Netherlands T20I Tri-Series, 2024",2024-05-18
7808,"Pakistan tour of Ireland, 2024",2024-05-10
8080,Mdina Cup 2024,2024-05-09
7896,"Mongolia tour of Japan, 2024",2024-05-07
7706,"Zimbabwe tour of Bangladesh, 2024",2024-05-03
8042,Thailand tour of Indonesia 2024,2024-05-01
7679,"New Zealand tour of Pakistan, 2024",2024-04-18
7817,"Jersey tour of Spain, 2024",2024-04-14
