Venue Name,City,Country,Capacity
Narendra Modi Stadium,Ahmedabad,India,132000
West End Park International Cricket Stadium,Doha,Qatar,13000
Eden Gardens,Kolkata,India,63000
Terdthai Cricket Ground,Bangkok,Thailand,0
Sinhalese Sports Club,Colombo,Sri Lanka,10000
Willowmoore Park,Benoni,South Africa,20000
MA Chidambaram Stadium,Chennai,India,50000
Arun Jaitley Stadium,Delhi,India,48000
R.Premadasa Stadium,Colombo,Sri Lanka,35000
Hagley Oval,Christchurch,New Zealand,20000
Saxton Oval,Nelson,New Zealand,5000
Cobham Oval (New),Whangarei,New Zealand,0
Wankhede Stadium,Mumbai,India,33000
Pallekele International Cricket Stadium,Pallekele,Sri Lanka,35000
Senwes Park,Potchefstroom,South Africa,0
W.A.C.A. Ground,Perth,Australia,0
Cricket Central,Sydney,Australia,0
Eden Park Outer Oval,Auckland,New Zealand,0
Queen's Park,Invercargill,New Zealand,0
Seddon Park,Hamilton,New Zealand,0
Boland Park,Paarl,South Africa,10000
The Wanderers Stadium,Johannesburg,South Africa,34000
Newlands,Cape Town,South Africa,25000
Kingsmead,Durban,South Africa,25000
Mangaung Oval,Bloemfontein,South Africa,20000
Holkar Stadium,Indore,India,0
Sharad Pawar Cricket Academy BKC,Mumbai,India,0
Bengal Cricket Academy Ground,Kalyani,India,0
Keenan Stadium,Jamshedpur,India,19000
Sydney Cricket Ground,Sydney,Australia,48000
Melbourne Cricket Ground,Melbourne,Australia,0
